Age,Gender,Income,Occupation,Marital_Status,Household_Size,Weekly_Order_Frequency,Top_Priorities,Multi_Restaurant_Support,Flexible_Delivery_for_Freshness,Try_New_Food_Recommendations,Preferred_Cuisines,Wants_Personalised_Discounts,App_Frustrations,Sustainability_Importance,Importance_OnTime,Importance_DriverRating,Avg_Spend_Per_Order,Willing_To_Try_New_App,Max_Willingness_To_Pay,Likely_To_Recommend,Pay_Extra_For_Features,Order_Device,Delivery_Timing_Preference,Current_Satisfaction
45-54,Male,15–25K,Retired,Single,5,1–2,"Variety of restaurants, Customization, Sustainability",Yes,Yes,Sometimes,"Fast Food, Mexican, Japanese, Vegan",Yes,"Driver behavior, Poor packaging, Bad customer support, Lack of discounts",Rarely,3,3,50–75,Maybe,150+,4,Yes,Mobile App,Schedule,7
25-34,Male,4–8K,Unemployed,Married,2,3–5,"Low price, Variety of restaurants",Yes,No,Rarely,"Indian, Japanese, Italian",Yes,"Late delivery, Non-transparent pricing",Never,2,1,50–75,Yes,30–50,4,Depends,Mobile App,Schedule,10
25-34,Male,4–8K,Unemployed,Married,5,3–5,Low price,No,Yes,Sometimes,"Arabic, Vegan, Italian, Chinese",Yes,Cold food,Sometimes,4,4,50–75,Yes,30–50,1,No,Mobile App,ASAP,4
25-34,Male,25K+,Employed,Married,1,3–5,"Healthy options, Fresh/hot food",Yes,Depends,Often,"Chinese, Japanese, Italian, Mexican",No,Late delivery,Sometimes,3,2,25–50,Maybe,50–75,2,Depends,Mobile App,ASAP,6
18-24,Female,0–4K,Homemaker,Single,1,1–2,"Variety of restaurants, Fresh/hot food, Low price",Yes,Yes,Often,"Fast Food, Mexican",Yes,"Non-transparent pricing, Lack of discounts, Cold food, Bad customer support",Always,2,2,25–50,Yes,50–75,2,No,Phone Call,ASAP,4
45-54,Female,25K+,Employed,Married,1,1–2,Healthy options,No,Yes,Often,"Arabic, Mexican, Chinese",No,Poor packaging,Sometimes,5,5,25–50,Yes,30–50,5,Yes,Mobile App,ASAP,6
45-54,Male,8–15K,Retired,Married,6,3–5,"Fast delivery, Healthy options, Variety of restaurants",No,Depends,Sometimes,"Mexican, Indian",No,Bad customer support,Sometimes,4,3,25–50,Yes,50–75,4,No,WhatsApp,Schedule,5
55+,Female,15–25K,Retired,Married,7,6+,"Variety of restaurants, Fast delivery, Sustainability",Yes,Yes,Sometimes,"Arabic, Vegan",Yes,Cold food,Sometimes,3,3,50–75,Yes,50–75,4,No,WhatsApp,Schedule,8
55+,Female,4–8K,Self-Employed,Divorced,3,1–2,Fresh/hot food,Yes,No,Often,"Chinese, Arabic, Fast Food, Indian",Yes,"Lack of discounts, Cold food",Always,3,4,75–100,Maybe,50–75,4,Depends,Other,ASAP,4
35-44,Male,0–4K,Unemployed,Divorced,7,0,"Fast delivery, Healthy options, Fresh/hot food",Yes,Yes,Sometimes,"Chinese, Arabic, Vegan, Indian",No,"Cold food, Driver behavior, Lack of discounts, Bad customer support",Sometimes,3,3,50–75,Yes,100–150,2,Depends,Website,ASAP,8
35-44,Male,15–25K,Self-Employed,Single,3,0,"Customization, Healthy options, Low price",Yes,No,Sometimes,"Indian, Italian",Yes,"Bad customer support, Driver behavior, Limited restaurant choice, Late delivery",Often,3,2,50–75,Yes,30–50,1,Yes,Mobile App,ASAP,8
45-54,Male,15–25K,Student,Single,3,1–2,"Discounts, Sustainability, Healthy options",Yes,No,Sometimes,"Arabic, Mexican, Chinese, Italian",Neutral,Limited restaurant choice,Sometimes,3,4,50–75,Yes,30–50,3,Yes,Website,ASAP,10
45-54,Male,15–25K,Retired,Married,7,3–5,"Healthy options, Discounts",Yes,Yes,Sometimes,"Indian, Italian, Chinese",No,"Non-transparent pricing, Driver behavior",Often,3,4,50–75,Yes,75–100,4,Yes,Mobile App,Depends,10
25-34,Female,4–8K,Self-Employed,Divorced,6,0,"Healthy options, Fast delivery, Low price",Yes,Depends,Rarely,"Arabic, Indian, Fast Food, Mexican",Yes,"Bad customer support, Cold food, Driver behavior",Sometimes,3,3,50–75,Yes,75–100,3,Depends,Phone Call,ASAP,5
25-34,Male,15–25K,Employed,Other,5,1–2,"Healthy options, Sustainability",Yes,No,Often,"Vegan, Indian, Japanese, Mexican",No,"Poor packaging, Bad customer support, Cold food",Often,3,3,10–25,Yes,30–50,1,Yes,Mobile App,Schedule,9
18-24,Female,15–25K,Unemployed,Other,3,1–2,Customization,Yes,Yes,Often,"Fast Food, Arabic, Italian",Yes,"Cold food, Poor packaging",Always,4,2,100+,No,100–150,2,No,Mobile App,ASAP,6
55+,Female,8–15K,Unemployed,Married,2,0,Discounts,No,Yes,Sometimes,"Mexican, Arabic",Yes,Non-transparent pricing,Sometimes,3,4,10–25,Yes,50–75,2,No,WhatsApp,ASAP,7
35-44,Male,15–25K,Homemaker,Married,7,1–2,Variety of restaurants,Yes,Yes,Rarely,"Mexican, Arabic, Vegan, Japanese",No,"Poor packaging, Non-transparent pricing, Limited restaurant choice, Bad customer support",Always,3,5,25–50,No,30–50,2,No,Mobile App,ASAP,10
25-34,Female,15–25K,Employed,Divorced,7,1–2,"Healthy options, Discounts, Sustainability",Yes,Yes,Often,"Italian, Arabic",No,"Lack of discounts, Cold food",Sometimes,3,5,25–50,Yes,50–75,2,Yes,Mobile App,ASAP,5
35-44,Male,8–15K,Homemaker,Divorced,1,1–2,Sustainability,No,Yes,Sometimes,"Japanese, Fast Food",Yes,"Bad customer support, Lack of discounts, Limited restaurant choice",Rarely,4,3,10–25,No,30–50,3,Yes,Mobile App,ASAP,7
35-44,Non-binary,4–8K,Self-Employed,Divorced,5,3–5,"Fresh/hot food, Customization",Yes,Yes,Sometimes,"Chinese, Arabic, Indian, Vegan",Yes,"Bad customer support, Driver behavior, Late delivery",Never,1,4,50–75,Yes,30–50,2,No,Website,Schedule,3
25-34,Male,8–15K,Student,Single,1,1–2,"Fast delivery, Discounts",No,Yes,Rarely,"Japanese, Italian",Yes,"Lack of discounts, Non-transparent pricing",Often,4,2,25–50,Yes,30–50,4,Yes,Mobile App,ASAP,9
18-24,Female,4–8K,Employed,Single,7,1–2,"Discounts, Fast delivery, Fresh/hot food",Yes,No,Sometimes,"Indian, Japanese, Chinese",Yes,Lack of discounts,Rarely,2,4,75–100,Maybe,50–75,2,Yes,Mobile App,Schedule,10
35-44,Female,8–15K,Employed,Married,7,6+,"Discounts, Sustainability, Fresh/hot food",Yes,Yes,Often,"Mexican, Fast Food, Japanese",Yes,"Cold food, Limited restaurant choice",Often,3,2,25–50,Yes,75–100,3,Yes,Phone Call,ASAP,8
25-34,Male,8–15K,Employed,Single,3,3–5,"Sustainability, Customization, Fresh/hot food",Yes,Depends,Often,"Italian, Vegan, Japanese",Yes,"Cold food, Bad customer support, Lack of discounts, Non-transparent pricing",Rarely,1,3,25–50,Yes,50–75,3,No,Mobile App,ASAP,10
35-44,Female,4–8K,Homemaker,Divorced,5,3–5,"Discounts, Variety of restaurants",Yes,Yes,Sometimes,"Chinese, Indian, Fast Food",Yes,"Cold food, Lack of discounts, Late delivery",Sometimes,4,5,25–50,Yes,50–75,3,Yes,Mobile App,ASAP,9
25-34,Female,8–15K,Self-Employed,Divorced,4,0,"Customization, Healthy options",Yes,Yes,Sometimes,"Fast Food, Italian",Neutral,"Cold food, Driver behavior, Lack of discounts, Late delivery",Always,2,4,50–75,Yes,50–75,4,Yes,Website,ASAP,5
45-54,Female,4–8K,Employed,Single,2,0,"Sustainability, Discounts",Yes,No,Rarely,"Fast Food, Italian",Yes,"Limited restaurant choice, Non-transparent pricing",Often,3,4,75–100,Yes,50–75,4,Yes,Mobile App,Schedule,7
35-44,Female,15–25K,Employed,Other,3,0,Sustainability,Yes,Yes,Rarely,"Mexican, Japanese, Chinese, Vegan",Yes,"Lack of discounts, Driver behavior, Non-transparent pricing, Late delivery",Often,3,4,25–50,Yes,75–100,4,Yes,Mobile App,Depends,8
35-44,Female,25K+,Unemployed,Married,7,1–2,Variety of restaurants,Yes,Yes,Always,"Arabic, Vegan, Italian",No,"Non-transparent pricing, Poor packaging, Bad customer support",Sometimes,1,3,25–50,No,50–75,4,No,Mobile App,ASAP,4
45-54,Male,4–8K,Student,Other,3,1–2,"Variety of restaurants, Low price",Yes,Yes,Often,"Arabic, Chinese",No,Lack of discounts,Often,3,4,100+,No,50–75,3,Yes,Mobile App,ASAP,10
25-34,Male,25K+,Unemployed,Married,2,6+,"Customization, Sustainability",Yes,Yes,Sometimes,"Vegan, Italian",Neutral,"Non-transparent pricing, Lack of discounts, Driver behavior, Late delivery",Sometimes,4,4,25–50,No,50–75,2,No,Mobile App,Schedule,6
18-24,Female,8–15K,Unemployed,Other,7,1–2,"Sustainability, Low price",Yes,Yes,Often,"Vegan, Fast Food, Italian",Yes,"Non-transparent pricing, Lack of discounts",Sometimes,3,3,25–50,Yes,75–100,4,Yes,Mobile App,Schedule,6
18-24,Male,4–8K,Student,Single,2,1–2,Variety of restaurants,Yes,Depends,Often,"Mexican, Chinese",Yes,"Bad customer support, Cold food, Poor packaging, Late delivery",Never,3,3,25–50,Yes,30–50,2,Depends,Mobile App,ASAP,6
35-44,Female,4–8K,Self-Employed,Married,4,3–5,"Sustainability, Discounts, Variety of restaurants",Yes,Yes,Often,"Arabic, Fast Food, Japanese",Yes,"Late delivery, Cold food, Limited restaurant choice, Poor packaging",Rarely,3,3,10–25,No,30–50,3,Yes,Mobile App,ASAP,7
35-44,Female,8–15K,Unemployed,Married,3,1–2,Variety of restaurants,Yes,Depends,Never,"Vegan, Mexican, Japanese",Yes,"Driver behavior, Lack of discounts",Often,3,3,25–50,Yes,50–75,2,Depends,Mobile App,Schedule,10
35-44,Male,15–25K,Self-Employed,Married,6,3–5,"Sustainability, Healthy options, Fresh/hot food",Yes,No,Rarely,"Italian, Arabic, Japanese, Mexican",Yes,"Lack of discounts, Non-transparent pricing",Sometimes,4,2,10–25,No,75–100,2,Depends,Website,ASAP,5
25-34,Male,15–25K,Unemployed,Divorced,3,3–5,Customization,Yes,Yes,Often,"Vegan, Italian",Yes,"Bad customer support, Non-transparent pricing, Driver behavior, Poor packaging",Rarely,5,3,75–100,Yes,50–75,3,No,Phone Call,ASAP,3
18-24,Female,4–8K,Retired,Divorced,1,3–5,"Sustainability, Variety of restaurants, Fresh/hot food",No,Yes,Sometimes,"Fast Food, Italian",Yes,"Limited restaurant choice, Late delivery, Bad customer support, Driver behavior",Rarely,3,3,50–75,Yes,100–150,3,Depends,Mobile App,ASAP,7
18-24,Male,4–8K,Student,Other,5,6+,"Fast delivery, Fresh/hot food, Variety of restaurants",Yes,Depends,Always,"Mexican, Vegan",Yes,"Driver behavior, Cold food, Limited restaurant choice",Always,4,2,75–100,Maybe,30–50,2,Yes,Mobile App,ASAP,5
25-34,Female,8–15K,Unemployed,Single,5,1–2,"Fresh/hot food, Fast delivery",Yes,Depends,Often,"Japanese, Indian, Vegan, Arabic",Yes,"Poor packaging, Limited restaurant choice, Lack of discounts, Late delivery",Often,3,5,50–75,No,50–75,3,Yes,WhatsApp,Depends,6
35-44,Male,4–8K,Retired,Divorced,1,1–2,Sustainability,Yes,Yes,Always,"Fast Food, Indian, Vegan, Japanese",Yes,"Non-transparent pricing, Bad customer support, Lack of discounts, Cold food",Often,4,2,50–75,No,50–75,3,Yes,Mobile App,Schedule,8
25-34,Female,4–8K,Homemaker,Married,7,6+,"Customization, Variety of restaurants",Yes,Yes,Sometimes,"Chinese, Italian, Fast Food, Mexican",Yes,"Non-transparent pricing, Poor packaging, Bad customer support, Late delivery",Often,4,3,50–75,Maybe,50–75,2,Yes,Other,ASAP,4
25-34,Male,4–8K,Retired,Divorced,5,3–5,"Discounts, Low price, Variety of restaurants",Yes,Yes,Often,"Italian, Chinese",Yes,"Lack of discounts, Cold food, Non-transparent pricing",Always,3,3,75–100,No,75–100,5,Yes,Mobile App,Schedule,6
45-54,Female,15–25K,Employed,Single,2,1–2,"Customization, Discounts, Variety of restaurants",Yes,Yes,Sometimes,"Vegan, Japanese, Arabic",Yes,"Late delivery, Bad customer support, Cold food",Often,4,3,10–25,Yes,75–100,3,No,Phone Call,ASAP,7
25-34,Male,25K+,Unemployed,Divorced,5,6+,"Variety of restaurants, Healthy options",Yes,Yes,Always,"Japanese, Fast Food, Mexican",Yes,"Late delivery, Non-transparent pricing",Sometimes,3,3,25–50,Maybe,50–75,3,Yes,Mobile App,ASAP,5
25-34,Female,8–15K,Retired,Married,5,0,Discounts,Yes,Depends,Rarely,"Arabic, Mexican, Chinese",Yes,Late delivery,Often,3,2,50–75,No,50–75,2,Yes,Mobile App,Schedule,7
35-44,Male,25K+,Self-Employed,Other,1,6+,Variety of restaurants,Yes,Yes,Sometimes,"Italian, Fast Food, Chinese",Yes,Driver behavior,Sometimes,2,4,100+,No,100–150,3,Yes,WhatsApp,ASAP,7
25-34,Female,8–15K,Homemaker,Married,7,0,"Variety of restaurants, Low price, Customization",Yes,No,Often,"Mexican, Indian",Yes,"Non-transparent pricing, Limited restaurant choice, Bad customer support",Always,3,3,100+,Yes,50–75,3,No,WhatsApp,Depends,6
35-44,Female,8–15K,Unemployed,Single,4,1–2,Customization,Yes,No,Sometimes,"Mexican, Japanese",No,Bad customer support,Rarely,3,4,50–75,Maybe,75–100,3,Depends,Mobile App,Schedule,7
45-54,Male,4–8K,Employed,Other,5,3–5,Customization,Yes,Yes,Sometimes,"Vegan, Mexican, Chinese, Arabic",Yes,"Bad customer support, Limited restaurant choice, Driver behavior",Rarely,4,5,25–50,Yes,100–150,5,No,WhatsApp,ASAP,7
45-54,Male,8–15K,Retired,Divorced,6,1–2,"Low price, Customization",Yes,Yes,Always,"Mexican, Italian, Arabic, Fast Food",Yes,"Late delivery, Bad customer support, Limited restaurant choice, Non-transparent pricing",Sometimes,2,3,25–50,Yes,50–75,1,No,Mobile App,Depends,5
18-24,Male,25K+,Homemaker,Divorced,5,1–2,Discounts,Yes,No,Sometimes,"Indian, Vegan",Neutral,"Lack of discounts, Late delivery, Driver behavior",Rarely,4,4,75–100,Yes,75–100,3,Yes,Mobile App,ASAP,4
45-54,Female,8–15K,Unemployed,Divorced,4,1–2,"Sustainability, Fast delivery, Healthy options",Yes,Depends,Often,"Arabic, Chinese",Yes,"Driver behavior, Bad customer support, Limited restaurant choice, Poor packaging",Always,3,5,25–50,Yes,50–75,4,Depends,Mobile App,ASAP,5
25-34,Female,8–15K,Homemaker,Other,1,6+,"Discounts, Fast delivery",Yes,No,Rarely,"Indian, Japanese, Fast Food",Yes,"Limited restaurant choice, Bad customer support, Late delivery",Sometimes,4,3,25–50,Yes,30–50,2,Yes,Mobile App,Depends,4
25-34,Female,8–15K,Employed,Married,4,3–5,"Variety of restaurants, Healthy options",Yes,Yes,Often,"Japanese, Chinese, Vegan",Yes,"Non-transparent pricing, Poor packaging",Always,3,4,75–100,Maybe,50–75,1,Depends,Website,Schedule,9
25-34,Male,4–8K,Retired,Other,1,3–5,"Fast delivery, Variety of restaurants, Low price",No,Yes,Often,"Fast Food, Japanese",No,Bad customer support,Often,2,3,25–50,No,30–50,2,No,Mobile App,Schedule,3
55+,Male,15–25K,Homemaker,Other,2,3–5,"Customization, Low price",Yes,Yes,Sometimes,"Chinese, Japanese",Yes,"Poor packaging, Cold food, Bad customer support",Often,5,5,50–75,Yes,50–75,4,Yes,Mobile App,ASAP,8
25-34,Female,8–15K,Homemaker,Single,1,3–5,"Healthy options, Low price, Fresh/hot food",Yes,Yes,Never,"Fast Food, Japanese, Mexican, Indian",Yes,"Poor packaging, Lack of discounts",Sometimes,2,3,50–75,No,75–100,2,Depends,Mobile App,ASAP,5
25-34,Female,8–15K,Student,Other,2,1–2,"Low price, Healthy options",No,No,Sometimes,"Indian, Chinese, Italian",Yes,"Late delivery, Poor packaging, Cold food, Driver behavior",Often,4,4,10–25,Yes,30–50,3,Depends,Mobile App,Schedule,9
35-44,Prefer not to say,8–15K,Homemaker,Divorced,2,1–2,"Variety of restaurants, Fast delivery",Yes,Yes,Never,"Italian, Indian",Yes,"Late delivery, Limited restaurant choice",Sometimes,1,5,25–50,Yes,30–50,4,No,Mobile App,ASAP,6
25-34,Male,8–15K,Student,Married,1,3–5,Low price,Yes,Depends,Never,"Arabic, Mexican, Fast Food",Yes,"Driver behavior, Non-transparent pricing, Bad customer support, Limited restaurant choice",Often,3,2,25–50,Yes,50–75,2,Yes,Mobile App,ASAP,7
18-24,Female,4–8K,Retired,Married,6,1–2,Low price,No,Yes,Often,"Japanese, Arabic, Mexican, Vegan",No,Driver behavior,Rarely,5,3,50–75,Maybe,50–75,2,Depends,Website,Depends,8
18-24,Male,8–15K,Unemployed,Married,3,0,"Discounts, Customization",Yes,No,Rarely,"Italian, Japanese",Yes,"Lack of discounts, Bad customer support, Late delivery, Limited restaurant choice",Sometimes,3,3,25–50,Yes,50–75,2,Yes,Mobile App,ASAP,9
18-24,Male,4–8K,Unemployed,Divorced,1,0,"Fast delivery, Discounts, Fresh/hot food",Yes,Depends,Rarely,"Fast Food, Vegan, Japanese, Chinese",Yes,"Cold food, Non-transparent pricing, Limited restaurant choice, Late delivery",Often,3,5,10–25,Yes,50–75,2,Yes,Mobile App,Depends,6
25-34,Female,15–25K,Retired,Divorced,5,1–2,Discounts,No,Yes,Often,"Vegan, Japanese",Yes,"Lack of discounts, Non-transparent pricing, Late delivery, Limited restaurant choice",Often,5,2,100+,Yes,30–50,2,Yes,Mobile App,Depends,5
18-24,Female,15–25K,Retired,Divorced,6,3–5,"Customization, Low price",No,Depends,Rarely,"Japanese, Italian, Fast Food, Mexican",Yes,Limited restaurant choice,Rarely,3,4,25–50,No,30–50,3,No,Mobile App,ASAP,8
35-44,Prefer not to say,15–25K,Self-Employed,Divorced,6,1–2,Healthy options,Yes,Yes,Sometimes,"Italian, Chinese, Indian",No,"Poor packaging, Driver behavior, Late delivery, Limited restaurant choice",Often,4,4,25–50,No,75–100,4,Depends,Mobile App,ASAP,3
25-34,Male,8–15K,Retired,Divorced,5,3–5,"Sustainability, Fresh/hot food",Yes,Yes,Rarely,"Italian, Vegan, Arabic, Chinese",Yes,"Late delivery, Driver behavior, Limited restaurant choice",Sometimes,4,4,25–50,Yes,30–50,5,Yes,Mobile App,ASAP,3
25-34,Male,8–15K,Homemaker,Other,3,1–2,"Sustainability, Variety of restaurants",Yes,Depends,Sometimes,"Chinese, Japanese, Italian",Yes,"Non-transparent pricing, Driver behavior, Lack of discounts, Late delivery",Sometimes,2,5,25–50,Yes,50–75,4,Depends,Mobile App,Schedule,7
45-54,Female,4–8K,Unemployed,Divorced,6,1–2,Sustainability,Yes,Depends,Often,"Indian, Chinese",Yes,Driver behavior,Often,3,1,100+,No,100–150,3,Yes,Phone Call,ASAP,8
25-34,Female,15–25K,Employed,Divorced,2,1–2,"Fresh/hot food, Customization",Yes,Yes,Often,"Mexican, Japanese",Yes,"Limited restaurant choice, Poor packaging",Often,3,4,25–50,No,75–100,5,Yes,Mobile App,ASAP,7
35-44,Male,4–8K,Unemployed,Divorced,3,3–5,Healthy options,Yes,Yes,Sometimes,"Vegan, Mexican",Yes,"Lack of discounts, Bad customer support, Driver behavior",Often,2,3,25–50,Yes,30–50,5,No,Website,ASAP,6
25-34,Male,8–15K,Student,Divorced,7,3–5,Discounts,Yes,No,Rarely,"Japanese, Italian",No,Driver behavior,Often,5,2,75–100,Maybe,50–75,3,Depends,Mobile App,ASAP,6
25-34,Male,4–8K,Unemployed,Married,5,6+,"Low price, Discounts, Fast delivery",Yes,Depends,Rarely,"Italian, Vegan, Chinese",Yes,"Lack of discounts, Driver behavior, Non-transparent pricing, Poor packaging",Often,4,2,50–75,Maybe,75–100,2,Depends,Mobile App,ASAP,10
18-24,Female,4–8K,Self-Employed,Divorced,3,3–5,"Discounts, Healthy options, Fast delivery",Yes,Yes,Sometimes,"Arabic, Vegan, Fast Food",No,"Cold food, Late delivery",Always,4,5,25–50,Yes,50–75,5,Depends,Mobile App,ASAP,10
25-34,Male,8–15K,Retired,Other,1,3–5,"Customization, Variety of restaurants",Yes,Depends,Always,"Arabic, Chinese",No,"Lack of discounts, Non-transparent pricing, Driver behavior, Late delivery",Often,5,4,75–100,Yes,75–100,2,Yes,Mobile App,ASAP,7
25-34,Male,4–8K,Retired,Other,3,3–5,Discounts,No,Yes,Sometimes,"Arabic, Fast Food, Italian",No,"Poor packaging, Limited restaurant choice, Bad customer support, Late delivery",Often,4,4,50–75,Yes,50–75,2,Depends,Mobile App,Schedule,5
25-34,Male,15–25K,Unemployed,Other,2,6+,"Fast delivery, Customization, Low price",No,Yes,Sometimes,"Vegan, Fast Food, Arabic, Japanese",Yes,Late delivery,Never,3,5,25–50,No,30–50,1,Depends,Other,ASAP,5
18-24,Male,8–15K,Employed,Single,1,3–5,"Variety of restaurants, Fresh/hot food",Yes,Yes,Rarely,"Vegan, Italian, Mexican",Yes,"Limited restaurant choice, Poor packaging, Late delivery",Sometimes,2,2,50–75,Yes,50–75,4,Yes,Mobile App,Depends,8
18-24,Male,0–4K,Employed,Married,4,0,Fresh/hot food,No,Yes,Often,"Arabic, Fast Food, Japanese, Mexican",Neutral,"Lack of discounts, Limited restaurant choice",Sometimes,3,4,75–100,Yes,50–75,1,No,Mobile App,Depends,4
25-34,Female,8–15K,Self-Employed,Divorced,5,1–2,Fast delivery,No,Depends,Often,"Vegan, Japanese, Mexican, Arabic",No,"Cold food, Late delivery, Limited restaurant choice",Always,3,5,25–50,No,50–75,4,No,Mobile App,Schedule,4
25-34,Male,0–4K,Student,Single,5,3–5,Low price,Yes,Yes,Often,"Vegan, Chinese, Indian, Italian",No,"Cold food, Driver behavior, Lack of discounts, Non-transparent pricing",Always,4,3,50–75,Maybe,30–50,5,No,Mobile App,ASAP,6
25-34,Female,4–8K,Unemployed,Divorced,3,3–5,Customization,Yes,Depends,Often,"Chinese, Indian",Yes,"Cold food, Bad customer support",Rarely,3,5,100+,Yes,30–50,5,Depends,Mobile App,Depends,8
25-34,Male,15–25K,Retired,Single,6,1–2,"Customization, Discounts",Yes,Yes,Sometimes,"Mexican, Indian, Vegan",Yes,"Bad customer support, Non-transparent pricing, Cold food",Sometimes,2,3,50–75,Yes,100–150,1,Yes,Phone Call,Schedule,10
35-44,Female,4–8K,Unemployed,Single,1,3–5,"Discounts, Fresh/hot food, Healthy options",Yes,No,Rarely,"Italian, Arabic",No,Cold food,Always,4,4,25–50,Yes,30–50,1,No,Mobile App,Schedule,7
18-24,Female,15–25K,Self-Employed,Other,4,6+,"Variety of restaurants, Fast delivery",Yes,Depends,Sometimes,"Chinese, Vegan, Mexican, Indian",Yes,"Late delivery, Lack of discounts, Poor packaging",Often,5,4,25–50,No,30–50,2,Yes,Website,Schedule,8
35-44,Female,0–4K,Homemaker,Other,1,1–2,"Discounts, Customization, Fresh/hot food",Yes,No,Often,"Indian, Italian",Yes,"Lack of discounts, Limited restaurant choice, Cold food, Non-transparent pricing",Sometimes,5,4,50–75,No,75–100,4,No,Mobile App,ASAP,9
35-44,Female,4–8K,Homemaker,Single,5,3–5,"Sustainability, Fresh/hot food, Fast delivery",Yes,No,Often,"Arabic, Vegan, Chinese",Yes,"Limited restaurant choice, Poor packaging, Bad customer support",Rarely,2,3,25–50,Yes,50–75,4,Depends,Mobile App,ASAP,9
18-24,Male,15–25K,Self-Employed,Other,1,0,"Sustainability, Customization",Yes,Yes,Sometimes,"Fast Food, Indian, Italian, Japanese",Yes,Non-transparent pricing,Always,4,5,100+,Yes,30–50,4,Yes,Mobile App,Schedule,6
45-54,Male,8–15K,Retired,Single,4,0,"Healthy options, Customization",Yes,Depends,Often,"Japanese, Fast Food",Yes,"Late delivery, Bad customer support, Limited restaurant choice, Driver behavior",Sometimes,2,4,25–50,No,50–75,4,Yes,Mobile App,ASAP,9
45-54,Female,4–8K,Self-Employed,Married,6,1–2,"Fresh/hot food, Low price, Customization",No,Depends,Often,"Italian, Arabic",Yes,"Driver behavior, Bad customer support, Non-transparent pricing, Lack of discounts",Sometimes,5,1,25–50,Yes,50–75,5,Depends,Mobile App,Schedule,9
18-24,Prefer not to say,8–15K,Retired,Other,3,0,"Low price, Fast delivery",Yes,Yes,Often,"Chinese, Italian",Yes,"Poor packaging, Cold food",Never,3,5,50–75,No,50–75,2,Depends,Mobile App,ASAP,7
25-34,Female,4–8K,Employed,Other,2,3–5,Variety of restaurants,No,Depends,Sometimes,"Japanese, Chinese, Vegan, Arabic",Yes,Driver behavior,Rarely,3,2,50–75,Yes,100–150,2,No,Mobile App,ASAP,7
45-54,Female,15–25K,Self-Employed,Other,1,0,"Variety of restaurants, Fast delivery",Yes,Yes,Often,"Fast Food, Arabic, Indian",Yes,"Cold food, Driver behavior, Limited restaurant choice, Bad customer support",Often,3,5,25–50,Maybe,30–50,2,Yes,Website,ASAP,8
35-44,Female,8–15K,Retired,Married,2,1–2,Variety of restaurants,No,Yes,Sometimes,"Vegan, Japanese, Arabic",Yes,"Late delivery, Bad customer support",Sometimes,4,3,10–25,Yes,50–75,4,No,Mobile App,Schedule,8
25-34,Male,15–25K,Self-Employed,Single,5,1–2,"Fresh/hot food, Customization, Variety of restaurants",Yes,Depends,Often,"Fast Food, Chinese",No,"Driver behavior, Poor packaging",Sometimes,4,3,50–75,Yes,30–50,3,Depends,Website,ASAP,3
25-34,Male,15–25K,Self-Employed,Divorced,3,1–2,"Low price, Sustainability, Discounts",Yes,Yes,Always,"Italian, Chinese",Yes,Non-transparent pricing,Sometimes,1,4,75–100,Yes,50–75,4,Depends,Mobile App,ASAP,8
25-34,Female,8–15K,Retired,Other,7,0,"Healthy options, Fresh/hot food, Fast delivery",Yes,Depends,Sometimes,"Vegan, Japanese",Yes,"Cold food, Bad customer support",Rarely,5,3,50–75,Maybe,75–100,2,Yes,Phone Call,ASAP,9
25-34,Female,25K+,Retired,Single,3,3–5,"Discounts, Fast delivery, Fresh/hot food",Yes,Yes,Often,"Chinese, Fast Food",No,"Late delivery, Bad customer support",Rarely,4,1,25–50,Yes,30–50,4,No,Mobile App,ASAP,9
35-44,Male,8–15K,Student,Married,1,1–2,"Discounts, Healthy options",No,Yes,Often,"Vegan, Mexican",Neutral,"Bad customer support, Poor packaging, Driver behavior",Always,5,3,25–50,Yes,50–75,3,Yes,Mobile App,ASAP,7
25-34,Female,25K+,Self-Employed,Divorced,6,3–5,"Healthy options, Sustainability, Fresh/hot food",Yes,Yes,Rarely,"Indian, Fast Food, Japanese",Yes,"Cold food, Limited restaurant choice",Always,5,4,75–100,Maybe,30–50,3,Yes,Other,Schedule,7
25-34,Male,4–8K,Homemaker,Other,3,3–5,"Fresh/hot food, Variety of restaurants",No,Yes,Sometimes,"Mexican, Fast Food",Yes,"Non-transparent pricing, Driver behavior, Cold food, Limited restaurant choice",Sometimes,3,5,75–100,Maybe,30–50,3,No,Mobile App,Schedule,6
35-44,Female,8–15K,Self-Employed,Married,1,0,"Discounts, Sustainability",Yes,No,Rarely,"Vegan, Arabic, Indian, Chinese",Yes,"Lack of discounts, Poor packaging, Bad customer support",Often,4,2,25–50,Maybe,50–75,1,Yes,Mobile App,Schedule,6
18-24,Male,8–15K,Self-Employed,Married,1,3–5,Low price,Yes,Yes,Always,"Chinese, Fast Food",Yes,"Driver behavior, Non-transparent pricing, Poor packaging",Always,3,4,50–75,Yes,50–75,3,Yes,Mobile App,ASAP,8
25-34,Male,8–15K,Retired,Divorced,2,0,"Discounts, Low price, Variety of restaurants",No,Yes,Often,"Fast Food, Chinese, Indian",No,"Cold food, Lack of discounts, Driver behavior, Non-transparent pricing",Often,3,3,25–50,Maybe,30–50,4,Depends,Mobile App,ASAP,8
